target,model,calibration,fold,train_events,validation_events,test_events,accuracy,log_loss,brier,ece,mce,roc_auc,feature_set,model_feature_set,status,comparison_sample_events
shots_high,logistic,raw,1,,,500,0.64,0.6743032956533438,0.2375559789405159,0.10484493563177723,0.21644928446509942,0.5825039740134079,,BASELINE,OOS,8206.0
shots_high,logistic,raw,2,,,500,0.446,0.8027467068256366,0.2995813704089138,0.23222200542159274,0.7656590281349855,0.5223237943826179,,BASELINE,OOS,8206.0
shots_high,logistic,raw,3,,,500,0.486,0.7542146926090274,0.27773629640754555,0.19719445533257438,0.23017366124468203,0.6017450818209831,,BASELINE,OOS,8206.0
shots_high,logistic,raw,4,,,500,0.494,0.7138390253187828,0.2599957002767718,0.18784096324929428,0.474509237320326,0.6356366550359772,,BASELINE,OOS,8206.0
shots_high,logistic,raw,5,,,500,0.628,0.648318418544678,0.22816606463406844,0.05266658952371618,0.8163579781470988,0.6430726616214077,,BASELINE,OOS,8206.0
shots_high,logistic,raw,6,,,500,0.462,0.7653779064905951,0.28332981815173147,0.19552275589458534,0.3737638108673869,0.5470557479903274,,BASELINE,OOS,8206.0
shots_high,logistic,raw,7,,,500,0.494,0.7246328794785245,0.2647253859495188,0.14433788686064333,0.21255481734128367,0.569589001307063,,BASELINE,OOS,8206.0
shots_high,logistic,raw,8,,,500,0.522,0.716112463497211,0.26029660146121814,0.10356029652056362,0.8630487076621363,0.5548780487804877,,BASELINE,OOS,8206.0
shots_high,logistic,raw,9,,,500,0.562,0.6867572838154398,0.24676652685539266,0.04926630846493546,0.7200035707209327,0.5269186712485681,,BASELINE,OOS,8206.0
sot_high,logistic,raw,0,,,500,0.422,1.2213160542841017,0.4364083386644794,0.44241782484740233,0.6181432274104807,0.5549287459617245,,BASELINE,OOS,8206.0
sot_high,logistic,raw,1,,,500,0.688,0.645538613303876,0.2228071553101056,0.11690964180745783,0.152029928230929,0.6108191711389386,,BASELINE,OOS,8206.0
sot_high,logistic,raw,2,,,500,0.492,0.8051865641494276,0.29726498340733876,0.23072451144905512,0.2984887808461738,0.5878294909435111,,BASELINE,OOS,8206.0
sot_high,logistic,raw,3,,,500,0.526,0.7800683810355108,0.28489801975815815,0.19808598484387543,0.25573886644066923,0.5853334613415259,,BASELINE,OOS,8206.0
sot_high,logistic,raw,4,,,500,0.536,0.7070507076044134,0.25578029078408715,0.1242799232779925,0.279092213783502,0.5983243451463791,,BASELINE,OOS,8206.0
sot_high,logistic,raw,5,,,500,0.668,0.6122963605593604,0.2108148781396273,0.03351548243105978,0.4082066629009646,0.6542686503492775,,BASELINE,OOS,8206.0
sot_high,logistic,raw,6,,,500,0.576,0.7224618148766975,0.26017605706535085,0.12527778936835196,0.21143534304458578,0.5520276128314603,,BASELINE,OOS,8206.0
sot_high,logistic,raw,7,,,500,0.604,0.6835796727586014,0.24402333710644453,0.08186645992935183,0.31228596625183563,0.5645,,BASELINE,OOS,8206.0
sot_high,logistic,raw,8,,,500,0.676,0.627110181211175,0.2173966238282764,0.032159113348811684,0.7485141868447198,0.5537357752817279,,BASELINE,OOS,8206.0
sot_high,logistic,raw,9,,,500,0.678,0.6087721046251663,0.2099893288579387,0.06385109046569037,0.6384571221874068,0.5471014492753623,,BASELINE,OOS,8206.0
