event_id,selection,entry_odds,reference_odds,closing_odds,result,profit_units,clv_proxy
62bedc8ce22a67957dfd,away,4.2,4.0,3.9,home,-1.0,0.0769230769230771
09cf18a01f16b10c6387,draw,3.6,3.39,3.4,home,-1.0,0.05882352941176472
789aa247abf9c5f3d5df,draw,3.5,3.41,3.3,home,-1.0,0.06060606060606055
9bf834b446b26f456055,away,3.9,3.63,4.1,away,2.9,-0.04878048780487798
2e2e92dda175ca4c08c0,draw,4.2,3.93,4.1,away,-1.0,0.024390243902439046
f9dcb93b3a4cd585ea73,draw,3.4,3.31,3.25,home,-1.0,0.04615384615384621
6142b0f5f93e4fde1658,draw,3.75,3.62,3.4,away,-1.0,0.10294117647058831
0c3861ce261e2ef8a256,draw,3.5,3.43,3.3,draw,2.5,0.06060606060606055
3a271a1529b909c2a192,draw,5.0,4.7,5.25,draw,4.0,-0.04761904761904767
4d819cce4820a1f442d6,away,3.8,3.69,3.9,home,-1.0,-0.02564102564102566
c1a63ba7989453a7e4fb,draw,3.5,3.41,3.4,home,-1.0,0.02941176470588247
f3500334b0ff049d89ca,draw,3.4,3.25,3.4,home,-1.0,0.0
b51d9591993fa583d6f1,draw,3.4,3.18,3.0,away,-1.0,0.1333333333333333
cbd0cc985dc13ef7f403,draw,4.33,4.14,4.5,draw,3.33,-0.0377777777777778
97f7fef11af5b575858b,draw,4.2,4.07,4.33,draw,3.2,-0.03002309468822173
79ab5d1dc4e8a43536cc,draw,3.4,3.19,3.1,draw,2.4,0.09677419354838701
ac6e69d972bee10d60fc,draw,3.5,3.33,3.25,away,-1.0,0.07692307692307687
dbf5f5e36ec443874e70,draw,4.5,4.36,4.5,home,-1.0,0.0
068e1c5c99c263fc54c0,draw,3.25,3.18,3.2,home,-1.0,0.015625
14aa8d3b11863d770fc6,draw,3.4,3.29,3.3,draw,2.4,0.030303030303030276
30ca867a23454708c47b,draw,3.8,3.69,3.9,home,-1.0,-0.02564102564102566
30ca867a23454708c47b,away,4.75,4.65,5.0,home,-1.0,-0.050000000000000044
2fe79f6e34b5be3fdcb7,draw,3.3,3.09,3.3,draw,2.3,0.0
737047eebe4b1ce928ec,away,3.5,3.4,3.0,home,-1.0,0.16666666666666674
0bc76ba8e3a017b09947,draw,3.4,3.3,3.4,away,-1.0,0.0
d42647ba85adf540ed65,away,3.5,3.41,4.33,draw,-1.0,-0.19168591224018472
046723025d859d126ad4,draw,3.4,3.24,3.1,home,-1.0,0.09677419354838701
277107683ebd9455a7b4,home,4.5,4.08,4.1,home,3.5,0.09756097560975618
f296944f3ab72de85d6b,draw,3.8,3.67,3.6,draw,2.8,0.05555555555555558
cf919f43985f2c5bab84,draw,5.0,4.87,5.0,home,-1.0,0.0
a2094c0f3d2b18bf770a,draw,3.3,3.21,3.4,away,-1.0,-0.02941176470588236
296599df382ab4807169,away,3.7,3.53,3.5,away,2.7,0.05714285714285716
452636e93f318eb9670b,away,3.9,3.8,4.0,draw,-1.0,-0.025000000000000022
927193c1765821c33f52,home,2.5,2.45,2.3,draw,-1.0,0.0869565217391306
769b66e85591d245e86b,home,6.0,5.42,5.75,away,-1.0,0.04347826086956519
e0dcc51c203f249de250,draw,3.3,3.08,3.0,away,-1.0,0.09999999999999987
79144e20a7aedaf42d28,away,3.6,3.45,3.6,home,-1.0,0.0
9d8a7caf6cd70485f399,draw,3.5,3.34,3.4,home,-1.0,0.02941176470588247
dab0ba389fdc18ddcdcf,away,4.75,4.51,4.75,home,-1.0,0.0
7c496feadbd2e21c3db1,home,3.25,3.16,3.5,home,2.25,-0.0714285714285714
f824399329cd9895a2bc,draw,3.9,3.75,4.0,home,-1.0,-0.025000000000000022
63e2db859f781aa53694,draw,3.3,3.12,3.1,draw,2.3,0.06451612903225801
5d2b0d6249f6d81336ad,draw,3.3,3.17,3.3,draw,2.3,0.0
5fbb12d91f52f9a3a0c2,home,5.0,4.84,4.75,home,4.0,0.05263157894736836
6a9a3e5965b65f1101f2,home,3.6,3.46,3.3,away,-1.0,0.09090909090909105
edb7d2d9e5739e70c373,draw,3.1,3.01,3.0,home,-1.0,0.03333333333333344
81ce0e1ff5b643d85f4a,home,5.0,4.77,4.0,draw,-1.0,0.25
c6422f0842fdf23a2879,away,3.7,3.6,4.1,draw,-1.0,-0.09756097560975596
94329cc31a1fa50dd7b5,draw,3.4,3.32,3.4,away,-1.0,0.0
1abbdc3ec34c71c433fb,draw,3.9,3.82,3.7,draw,2.9,0.054054054054053946
ffa9cfd1671d053b7a5b,draw,4.5,4.29,4.2,home,-1.0,0.0714285714285714
3c5e400106dc43d13019,away,4.33,4.21,4.0,home,-1.0,0.08250000000000002
3a2fc8d4d0ec9b7384f3,draw,3.3,3.14,3.4,home,-1.0,-0.02941176470588236
63a8fe62728556166a31,home,10.0,9.3,9.5,away,-1.0,0.05263157894736836
ea2bd049abe175c5d859,away,5.0,4.78,4.75,home,-1.0,0.05263157894736836
063060c5a252095218b5,draw,3.4,3.32,3.4,away,-1.0,0.0
a8adf621ccdca3c606ed,draw,3.25,3.08,3.0,draw,2.25,0.08333333333333326
2dcc79aa5f482de56f91,draw,3.5,3.3,3.25,away,-1.0,0.07692307692307687
30956d4ce64e57ae620f,away,5.5,5.17,5.5,away,4.5,0.0
b4ff94e6b1ef9b1889d8,draw,3.2,3.05,3.0,draw,2.2,0.06666666666666665
4e71fe9abeca013bd568,draw,3.4,3.23,3.3,home,-1.0,0.030303030303030276
148d31e6f12014c73dbe,away,5.0,4.87,4.2,home,-1.0,0.19047619047619047
bcd27ae264ec6c892d98,draw,3.5,3.37,3.3,draw,2.5,0.06060606060606055
95d6a669f0680fc54b0d,away,4.75,4.58,4.33,home,-1.0,0.0969976905311778
cc05ad625631bb71a009,draw,4.0,3.9,3.9,home,-1.0,0.025641025641025772
6bd26a867454292096de,draw,3.3,3.23,3.4,home,-1.0,-0.02941176470588236
5fa195201f681ab55ce2,draw,3.5,3.26,3.3,home,-1.0,0.06060606060606055
a10a6452236b3ce44b95,draw,3.7,3.6,3.75,away,-1.0,-0.013333333333333308
484888f07a4acee942f2,draw,3.4,3.28,3.4,draw,2.4,0.0
d56212df82f36fd115b6,away,5.5,5.0,6.25,home,-1.0,-0.12
dc61bf37ceb6d240106d,draw,3.4,3.3,3.2,away,-1.0,0.0625
